workflow_size,mss,path_increase,variable_increase,constraint_increase
64,1.5,15.5,1.03125,8.03225806451613
64,0.75,0.5166666666666667,0.53125,0.5161290322580645
64,0.5,0.4166666666666667,0.4375,0.4274193548387097
64,0.25,0.15,0.171875,0.16129032258064516
64,0.15,0.11666666666666667,0.140625,0.12903225806451613
64,0.1,0.06666666666666667,0.09375,0.08064516129032258
64,0.05,0.016666666666666666,0.046875,0.03225806451612903
84,1.5,20.5,1.0238095238095237,10.524390243902438
84,0.75,0.5125,0.5238095238095238,0.5121951219512195
84,0.5,0.3125,0.3333333333333333,0.3231707317073171
84,0.25,0.2,0.21428571428571427,0.2073170731707317
84,0.15,0.1125,0.13095238095238096,0.12195121951219512
84,0.1,0.0625,0.08333333333333333,0.07317073170731707
84,0.05,0.025,0.047619047619047616,0.036585365853658534
104,1.5,25.5,1.0192307692307692,13.019607843137255
104,0.75,0.51,0.5192307692307693,0.5098039215686274
104,0.5,0.32,0.3269230769230769,0.3235294117647059
104,0.25,0.19,0.20192307692307693,0.19607843137254902
104,0.15,0.11,0.125,0.11764705882352941
104,0.1,0.08,0.09615384615384616,0.08823529411764706
104,0.05,0.03,0.04807692307692308,0.0392156862745098
