workflow_size,mss,path_increase,variable_increase,constraint_increase
41,1.5,1.0,1.0,1.0
41,0.75,0.5555555555555556,0.5365853658536586,0.54
41,0.5,0.4444444444444444,0.43902439024390244,0.44
41,0.25,0.2222222222222222,0.24390243902439024,0.24
41,0.15,0.1111111111111111,0.14634146341463414,0.14
41,0.1,0.1111111111111111,0.0975609756097561,0.1
41,0.05,0.1111111111111111,0.04878048780487805,0.06
983,1.5,1.0,1.0010172939979654,1.0008163265306123
983,0.75,0.5991735537190083,0.6002034587995931,0.6
983,0.5,0.40082644628099173,0.4008138351983723,0.4008163265306122
983,0.25,0.23140495867768596,0.23194303153611392,0.23183673469387756
983,0.15,0.1487603305785124,0.14954221770091555,0.1493877551020408
983,0.1,0.09917355371900827,0.09969481180061038,0.09959183673469388
983,0.05,0.0371900826446281,0.038657171922685654,0.03836734693877551
983,0.01,0.004132231404958678,0.006103763987792472,0.005714285714285714
233,1.5,1.0,1.0042918454935623,1.0034602076124568
233,0.75,0.5,0.4978540772532189,0.4982698961937716
233,0.5,0.5,0.4978540772532189,0.4982698961937716
233,0.25,0.21428571428571427,0.2145922746781116,0.21453287197231835
233,0.15,0.14285714285714285,0.1459227467811159,0.1453287197231834
233,0.1,0.08928571428571429,0.0944206008583691,0.09342560553633218
233,0.05,0.03571428571428571,0.04291845493562232,0.04152249134948097
233,0.01,0.017857142857142856,0.008583690987124463,0.010380622837370242
