workflow_size,mss,path_increase,variable_increase,constraint_increase
156,1.5,6.833333333333333,1.0192307692307692,5.633597883597884
156,0.75,0.1,0.5128205128205128,0.18518518518518517
156,0.5,0.06833333333333333,0.34615384615384615,0.12433862433862433
156,0.25,0.06833333333333333,0.1794871794871795,0.09126984126984126
156,0.15,0.03333333333333333,0.14102564102564102,0.05555555555555555
156,0.1,0.02,0.08974358974358974,0.03439153439153439
156,0.05,0.006666666666666667,0.04487179487179487,0.013227513227513227
416,1.5,3.5,1.0072115384615385,2.958768267223382
416,0.75,0.10666666666666667,0.6201923076923077,0.21816283924843424
416,0.5,0.05333333333333334,0.3125,0.10960334029227557
416,0.25,0.02666666666666667,0.15865384615384615,0.055323590814196244
416,0.15,0.014,0.08173076923076923,0.028183716075156576
416,0.1,0.014,0.08173076923076923,0.028183716075156576
416,0.05,0.014,0.04326923076923077,0.02035490605427975
416,0.01,0.0013333333333333333,0.009615384615384616,0.003131524008350731
676,1.5,6.833333333333333,1.0044378698224852,5.7614254624591945
676,0.75,0.11333333333333333,0.6568047337278107,0.2132752992383025
676,0.5,0.06,0.34911242603550297,0.11316648531011969
676,0.25,0.03333333333333333,0.1952662721893491,0.06311207834602829
676,0.15,0.02,0.11834319526627218,0.03808487486398259
676,0.1,0.013666666666666667,0.07988165680473373,0.025571273122959738
676,0.05,0.013666666666666667,0.04142011834319527,0.018770402611534277
676,0.01,0.0013333333333333333,0.008875739644970414,0.002720348204570185
